,to_id,from_id,date,post
88,7110301,7110301,1479057973,Дизайн Медленных свиданий основан на научных исследованиях И я хочу добавить в паблик побольше науки Науки о любви 🤗 Основная цель паблика анонсы мероприятий но кроме этого я собираюсь размещать здесь материалы посвященные исследованиям отношений привязанности близости взаимопонимания и любви Пожалуйста напишите в комментарии или мне в личку какие вопросы вас интересуют и волнуют в этой области О чём вам хотелось бы узнать побольше 
90,7110301,7110301,1478701323,Вся лента полна удивлениями по поводу победы Трампа а я не понимаю чему тут удивляться Риторика Трампа очень хороша Да он грубиян и ксенофоб но он говорил вещи которые вызывают живой отклик у людей Наверное даже у тех которые не хотят этого показывать и думают ну нет мы выше этого Трамп говорил о проблемах в экономике о вопросах которые можно задать правительству о национальной гордости Клинтон обещала вещи типа что едва ли чем то отличается от обычного предвыборного пустословия Очень интересно конечно что будет теперь дальше из всех кандидатов мне больше всех нравилась Джилл Стайн Но увы 
91,7110301,7110301,1478606189,Несколько карточек обратной связи К следующим встречам мы расширим банк вопросов и они будут повторяться гораздо реже или не будут вообще МедленныеСвидания
92,7110301,7110301,1478533198,Обнаружил в метро очаровательный кейс Час пик у автоматов для продажи билетов стоит мужик и говорит всем подходящим пропущу за рублей сдача есть Если пользоваться Тройкой проход стоит рубля но одноразовый билет стоит Вот и сдача есть и польза людям и юнит экономика сходится Всем стартаперам на заметку 
93,7110301,7110301,1478265034,РАБОТА УБОРКА Добрый день Предлагается работа уборка одной комнаты и кухни Необходимо помыть полы и протереть поверхности р в месяц Место речной вокзал Зп р за раз Для обсуждения деталей пишем сюда или звоним по телефону Невероятная жестокость
94,7110301,7110301,1478247426,Я конечно понимаю что там целый город внутри города но все равно кажется что миллиардов долларов за квартиру это многовато Надеюсь дома у них строят не такие же гении как пишут объявления 
95,7110301,7110301,1478202054,Фотографии с очередных Медленных свиданий Репетиции закончены Теперь мы точно знаем что это классно и это работает Так что скоро у нас появится сайт и надеюсь мы будем проводить встречи часто и регулярно Всё прошло отлично Я очень благодарен людям которые меня поддерживали и говорили разные теплые слова Приятно чувствовать что делаешь что то что кому то интересно и важно И на этот раз котики 
97,7110301,7110301,1478099762,Карту Тройка можно пополнить дистанционно через банк или с номера мобильного телефона Но на карту этот платёж все равно не попадет до тех пор пока вы не приложите её к специальному терминалу который есть только в метро 
98,7110301,7110301,1477690217,Олег ходил с фотопаратом Фотографируя себя На фоне памятных объектов И замечательных вещей На фоне толстого коллеги На фоне Тульского кремля С печальным видом и шавермой С веселым видом и такси Олег в обнимку с ипотекой Олег в тени гражданских прав Совсем не плохо получилось Друзьям не стыдно показать 
99,7110301,7110301,1477637394,Прекрасно просто прекрасно Закажите стыденчесскую работу назаказ и гарантированно получите 
101,7110301,7110301,1476974799,А эти штуки должны быть в холодильнике и холодные а то живой йогурт будет живее чем хотелось бы
102,7110301,7110301,1476903907,Вуху Мы провели наши первые Медленные свидания Опыт был насыщенный и интересный Его еще нужно осознать и обдумать а процесс отладить ведь он еще далек от совершенства Ну начало положено Будем продолжать Спасибо всем кто проявил интерес к Медленными свиданиям за вдохновение обсуждения поддержку и классные идеи Первый шаг считаю успешным Интересно что будет дальше 
104,7110301,7110301,1476274359,Сегодня я закончил писать всем кто записался на МедленныеСвидания Желающих оказалось мно ого Я очень рад интересу к этому проекту 😋 Пока он маленький и только начинается но он значит для меня что то особенное К сожалению не со всеми удалось связаться У кого то закрыта личка кто то оставил неработающую ссылку или только имя по которому вас невозможно однозначно идентифицировать \ Бывает также что соцсети отправляют сообщения от незнакомых пользователей в спам Если вы записывались и не получили новости и во всех других случаях загляните в наши паблики ВКонтакте и в Фейсбуке Там есть контактная и прочая информация Там же будут новости и объявления о будущих встречах 
105,7110301,7110301,1476125843,Какую прикольную штуку сделали ВКонтакте Да похоже на ФБ но гораздо красивее 
106,7110301,7110301,1475926850,Ого о На Медленные свидания записалось гораздо больше людей чем я ожидал Это очень приятно и радостно😊 Теперь у нас участников на несколько встреч Правда возник гендерный дисбаланс девушек записалось сильно больше Пожалуйста приглашайте своих знакомых мужчин Знающих друг друга людей мы не будет объединять в одну группу если они сами того не захотят Запись по прежнему по ссылке Мы уже нашли место для ближайшей встречи вечером го октября Она будет недалеко от Парка Культуры В ближайшие два дня свяжемся со всеми кто оставил контакты уточним детали и обсудим возможности и предпочтения каждого МедленныеСвидания
107,7110301,7110301,1475239293,Друзья Расскажите о нас своим друзьям 😉 Мои друзья ну и я немножко примазалась 😊 открыли в центре Москвы площадку для реализации самых разных психолого педагогических проектов У нас можно консультировать репетировать проводить группы устраивать мастер классы организовывать кинопоказы и все что душа пожелает Мы мечтаем дружить сотрудничать и обмениваться опытом 😃 Вся информация в группе Приходите Мы будем вам рады 😊 А октября Открытие ✨Психологический коворкинг Класс 
110,7110301,7110301,1474553790,У Якова жизнь интересная Насыщенная ерундой Он печет пироги естественно Он весьма доволен собой Утром он встает без будильника И мечтает о пирогах И спешит будто машет крыльями А не ходит на двух ногах Пироги временами славные И паршивые иногда Но для Якова в этом главное Само счастье его труда
111,7110301,7110301,1473943125,Ищу работу на проектах Могу копать и не копать Диплом с отличием конечно Блеать
112,7110301,7110301,1473796738,Письмо в редакцию Как я учился писать на в стране без интернета на Кубе
114,7110301,7110301,1472821216,Я захотел произойти от обезьяны читал что это можно сделать без труда У обезьяны есть свои изъяны Но в целом обезьяна это да Происхождение отличная находка Произойдя такого можно натворить Но посмотрев в окно и выпив водки Я понял лучше не происходить
115,7110301,7110301,1472235090,Быть немного вне времени проходящего мимо
116,7110301,7110301,1471685204,В местной рекламе очень не хватает возможности посмотреть по каким именно критериям на тебя таргетируется конкретное объявление Очень хочу знать от чего мне нужно отписаться чтобы больше не видеть этот фратц 
117,7110301,7110301,1471288844,Совсем недавно я переживала что сил и времени на практики типа фрирайтинга или утренних страниц у меня нет Сейчас я начала вести паблик Тут я каждый день выкладываю вопрос это то что я умею делать хорошо и картинку это я просто люблю которую можно использовать как ключ как метафорическую ассоциативную карту или игнорировать я буду рада если это окажется полезным вам или кому то из вашех друзей а чтобы они узнали про завтраки сделайте репост Это классная идея 
121,7110301,7110301,1470158736,Наконец появилось место где мы заглянем в мир мечты просторный зал в минутах ходьбы от метро Щукинская на территории Строительного техникума Для прохода нужно заранее заказать пропуска – для этого нам нужно знать ваши имена и фамилии Пожалуйста люди у которых имена фамилии отличаются от указанных в профиле отправьте нам их в личку Паспорт не обязательно но на всякий случай лучше взять Адрес улица академика Бочвара дом корпус Первый вагон из центра из стеклянных дверей налево Карту прикладываем Ждем вас августа в Новости про мечты и места их обитания 
122,7110301,7110301,1469680651,Рожденный ползать ломать не строить
